en;uk;ru;
Add_user; Добавити; Добавить;
All_photos; Всі фото; Все фото; 
Allowable_symbols; Допустимі символи; Допустимимые символы;
Authorization; Авторизація; Авторизация;
Authorization_ERROR; Помилка Авторизації; Ошибка Авторизации;
Cancel; Відмінити; Отменить;
Comment; Коментувати; Комментировать;
Contacts; Контакти; Контакты;
Country; Країна; Страна;
Create; Створити; Создать;
Delete; Видалити; Удалтиь;
email_exists; такий email існує; такой email существует;
Enter; Вхід; Вход;
ERROR; Помилка; Ошибка;
ERROR_DB; Помилка занесення данних, повторіть будь ласка пізніше; Ошибка занесения данных, повторите регистрацию позже;
Exit; Вихід; Выход;
Extend; Поширити; Распространить;
Female; Жін.; Жен.;
Groups; Групи; Группы;
Main; Головна; Главная;
Male; Чол.; Муж.;
My_photos; Мої фото; Мои фото;
Necessary_field; Необхідне поле; Обязательное поле;
Ok; Ok; Ok;
Place; Місце; Место;
Project; Про проект; О проекте;
Registration; Регістрація; Регистрация;
Remember; Запам`ятати; Запомнить;
Rename; Змінити; Изменить;
Save; Зберегти; Сохранить;
Settings; Установки; Установки;
Show_password; Показати пароль; Показать пароль;
Users; Користувачі; Пользователи;
You_are_registered; Вас зареєстровано; Вы зарегистрированы;
