LANG;ENG;UKR;RUS
Add_user;Add user;Добавити;Добавить
All_photos;All photos;Всі фото;Все фото
Allowable_symbols;Allowable symbols;Допустимі символи;Допустимимые символы
Authorization;Authorization;Авторизація;Авторизация
Authorization_ERROR;Authorization ERROR;Помилка Авторизації;Ошибка Авторизации
Cancel;Cancel;Відмінити;Отменить
Comment;Comment;Коментувати;Комментировать
Contacts;Contacts;Контакти;Контакты
Country;Country;Країна;Страна
Create;Create;Створити;Создать
Delete;Delete;Видалити;Удалтиь
email_exists;email exists;такий email існує;такой email существует
Enter;Enter;Вхід;Вход
ERROR;ERROR;Помилка;Ошибка
ERROR_DB;ERROR DB;Помилка занесення данних, повторіть будь ласка пізніше;Ошибка занесения данных, повторите регистрацию позже
Exit;Exit;Вихід;Выход
Extend;Extend;Поширити;Распространить
Female;Female;Жін.;Жен.
Groups;Groups;Групи;Группы
Main;Main;Головна;Главная
Male;Male;Чол.;Муж.
My_photos;My photos;Мої фото;Мои фото
Necessary_field;Necessary field;Необхідне поле;Обязательное поле
Ok;Ok;Ok;Ok
Place;Place;Місце;Место
Project;Project;Про проект;О проекте
Registration;Registration;Регістрація;Регистрация
Remember;Remember;Запам`ятати;Запомнить
Rename;Rename;Змінити;Изменить
Save;Save;Зберегти;Сохранить
Settings;Settings;Установки;Установки
Show_password;Show password;Показати пароль;Показать пароль
Users;Users;Користувачі;Пользователи
You_are_registered;You are registered;Вас зареєстровано;Вы зарегистрированы
